date,time,bytes,bytes_per_sec,msgs,msgs_per_sec,success,error,lat_count,lat_avg,lat_max,lat_histo_samples,lat_histo_min,lat_histo_max,lat_histo_mean,lat_histo_stddev,lat_histo_median,lat_histo_p75,lat_histo_p95,lat_histo_p98,lat_histo_p99,lat_histo_p999,topics
2018-07-31,16:46:07,3149602189,52493369,15178448,252974,15178448,0,15178448,183,759,14904263,22,759,182.94,77.75,179.00,232.00,298.00,356.00,440.00,641.00,1000
2018-07-31,16:47:07,3146776536,53335195,15165027,257034,15165030,0,15165033,184,989,14899958,24,989,184.52,80.55,180.00,233.00,303.00,364.00,449.00,697.00,1000
2018-07-31,16:48:07,3147550012,53348305,15169141,257104,15169140,0,15169137,181,1523,14915470,24,1523,181.25,80.05,177.00,230.00,295.00,341.00,417.00,732.00,1000
2018-07-31,16:49:07,3149306507,52488441,15177242,252954,15177240,0,15177237,182,1466,14912689,23,1466,182.66,79.73,179.00,232.00,298.00,346.00,423.00,683.00,1000
2018-07-31,16:50:07,3145456669,53312824,15158930,256931,15158935,0,15158941,185,1547,14926914,23,1547,185.74,80.39,182.00,235.00,302.00,344.00,408.00,693.00,1000
2018-07-31,16:51:07,3146795545,53335517,15165297,257038,15165292,0,15165286,188,1545,14883714,23,1545,189.17,82.54,185.00,238.00,308.00,366.00,444.00,701.00,1000
2018-07-31,16:52:07,3146687015,52444783,15164586,252743,15164586,0,15164586,176,929,14904596,24,929,176.90,77.75,173.00,226.00,288.00,347.00,434.00,671.00,1000
2018-07-31,16:53:07,3145932670,52432211,15160818,252680,15160818,0,15160818,190,3374,14910447,23,3374,191.25,131.08,182.00,236.00,308.00,381.00,469.00,2349.00,1000
2018-07-31,16:54:07,3145499840,53313556,15158438,256922,15158440,0,15158443,177,755,14891897,23,755,177.80,74.62,175.00,227.00,288.00,339.00,413.00,599.00,1000
2018-07-31,16:55:07,3148555515,52475925,15173634,252893,15173632,0,15173631,189,901,14912407,24,901,189.04,77.02,186.00,239.00,307.00,354.00,426.00,618.00,1000
2018-07-31,16:56:07,3146691543,53333754,15164876,257031,15164879,0,15164878,185,1533,14901833,23,1533,185.29,82.06,181.00,234.00,299.00,348.00,435.00,743.00,1000
2018-07-31,16:57:07,3147924710,52465411,15170568,252842,15170566,0,15170568,180,781,14925131,23,781,180.97,75.82,178.00,231.00,294.00,342.00,422.00,627.00,1000
2018-07-31,16:58:07,3144762801,53301064,15155045,256865,15155044,0,15155041,173,1497,14863252,23,1497,174.03,79.02,170.00,223.00,279.00,332.00,418.00,755.00,1000
2018-07-31,16:59:07,3147302776,53344114,15167936,257083,15167938,0,15167939,175,1013,14880408,23,1013,175.95,78.11,171.00,225.00,285.00,352.00,441.00,667.00,1000
2018-07-31,17:00:07,3145844729,52430745,15160301,252671,15160299,0,15160298,184,1061,14875495,23,1061,184.13,77.35,181.00,234.00,301.00,346.00,415.00,648.00,1000
2018-07-31,17:01:07,3145868584,53319806,15160301,256954,15160303,0,15160308,189,1524,14887703,25,1524,189.19,83.89,184.00,238.00,311.00,381.00,456.00,707.00,1000
2018-07-31,17:02:07,3150101486,52501691,15180651,253010,15180650,0,15180647,187,1015,14874503,24,1015,187.44,80.99,183.00,236.00,306.00,381.00,461.00,670.00,1000
2018-07-31,17:03:07,3146568007,52442800,15164611,252743,15164611,0,15164616,178,749,14885232,23,749,178.95,74.37,176.00,229.00,291.00,336.00,403.00,597.00,1000
2018-07-31,17:04:07,3144310926,53293405,15153149,256833,15153148,0,15153141,178,1490,14907489,25,1490,179.01,86.55,173.00,227.00,290.00,360.00,452.00,1064.00,1000
2018-07-31,17:05:07,3145939103,52432318,15160581,252676,15160582,0,15160584,181,1191,14903624,23,1191,181.86,80.05,177.00,231.00,299.00,371.00,444.00,667.00,1000
2018-07-31,17:06:07,3149190370,53376107,15177096,257238,15177097,0,15177097,186,2306,14891903,23,2306,186.42,95.67,180.00,233.00,297.00,368.00,464.00,1378.00,1000
2018-07-31,17:07:07,3148421501,52473691,15173089,252884,15173091,0,15173094,179,1872,14874730,23,1872,178.67,87.04,174.00,227.00,287.00,343.00,428.00,1026.00,1000
2018-07-31,17:08:07,3145950743,53321199,15161396,256972,15161392,0,15161387,180,1577,14898659,22,1577,180.70,89.10,175.00,228.00,290.00,363.00,450.00,1165.00,1000
2018-07-31,17:09:07,3148543656,53365146,15173624,257180,15173624,0,15173624,176,1812,14905621,24,1812,176.13,91.31,170.00,223.00,286.00,371.00,449.00,1258.00,1000
2018-07-31,17:10:07,3146897223,52448287,15165637,252760,15165637,0,15165637,178,1460,14911232,24,1460,178.39,79.84,174.00,228.00,289.00,339.00,418.00,704.00,1000
2018-07-31,17:11:07,3147207537,53342500,15166891,257065,15166892,0,15166894,176,878,14898884,24,878,176.48,74.04,173.00,226.00,286.00,328.00,400.00,617.00,1000
2018-07-31,17:12:07,3146777617,52446293,15165069,252751,15165071,0,15165073,185,781,14920105,24,781,185.45,77.06,182.00,235.00,303.00,352.00,426.00,614.00,1000
2018-07-31,17:13:07,3144682439,53299702,15155166,256867,15155163,0,15155159,182,944,14876482,25,944,183.11,78.14,179.00,232.00,300.00,351.00,434.00,639.00,1000
2018-07-31,17:14:07,3146823976,52447066,15165151,252752,15165152,0,15165155,186,1463,14918770,24,1463,186.56,83.45,182.00,235.00,301.00,345.00,427.00,978.00,1000
2018-07-31,17:15:07,3147937240,53354868,15170648,257129,15170648,0,15170648,177,1489,14902822,24,1489,177.68,79.36,174.00,227.00,286.00,337.00,424.00,709.00,1000
2018-07-31,17:16:07,3146657317,52444288,15164786,252746,15164786,0,15164785,187,1756,14890075,24,1756,187.13,89.65,181.00,235.00,305.00,388.00,474.00,1062.00,1000
2018-07-31,17:17:07,3146023672,53322435,15161362,256972,15161362,0,15161364,191,987,14880330,24,987,191.44,80.58,187.00,241.00,314.00,365.00,444.00,672.00,1000
2018-07-31,17:18:07,3145053073,52417551,15156715,252611,15156715,0,15156714,188,1797,14891904,25,1797,187.98,86.74,183.00,236.00,301.00,353.00,441.00,1061.00,1000
2018-07-31,17:19:07,3146815517,53335856,15165438,257041,15165437,0,15165434,182,1570,14875270,23,1570,181.93,92.87,175.00,229.00,293.00,371.00,473.00,1245.00,1000
2018-07-31,17:20:07,3148764321,52479405,15174864,252914,15174864,0,15174864,184,1791,14886580,25,1791,185.02,84.59,180.00,234.00,298.00,350.00,433.00,897.00,1000
2018-07-31,17:21:07,3144905470,53303482,15155611,256874,15155611,0,15155611,181,893,14842641,24,814,181.06,76.66,177.00,230.00,295.00,346.00,425.00,639.00,1000
2018-07-31,17:22:07,3148419597,53363044,15172961,257168,15172961,0,15172963,181,2671,14909510,21,2671,181.79,106.30,175.00,228.00,291.00,357.00,454.00,1653.00,1000
2018-07-31,17:23:07,3147236765,52453946,15167292,252788,15167295,0,15167296,181,1475,14920741,24,1475,181.19,86.39,176.00,229.00,292.00,371.00,470.00,904.00,1000
2018-07-31,17:24:07,3150013071,53390052,15181025,257305,15181026,0,15181029,183,702,14877327,23,702,183.47,76.43,180.00,234.00,302.00,350.00,411.00,599.00,1000
